Title,Movie Id,BudgetInMil,BoxOfficeInMil
Star Wars: Episode IV - A New Hope,1,11,775.4
Forest Gump,2,55,677.9
Good Will Hunting,3,10,225.9
Patch Adams,4,90,202.3
Scarface,5,25,65.9
Lord of the Rings: The Fellowship of the ring,6,93,873.5
The Hobbit: An Unexpected Journey,7,315,1021
Annihilation,8,55,41.1
Rudy,9,12,22.8
Interstellar ,10,165,677.5
Talladega Nights: The Ballad of Ricky Bobby,11,72.5,163
Dr. No,12,1.1,59.5
The Princess Bride,13,16,30.9
Die Hard,14,28,140.8
Pulp Fiction,15,8.5,213.9
The Outlaw Josey Wales,16,3.7,31.8
For A Few Dollars More,17,0.6,15
Gran Torino,18,33,270
Bram Stoker's Dracula,19,40,215.9
Apocalypse Now,20,31.5,150
American Graffiti,21,0.77,140
Rocky,22,1.1,225
Judge Dredd,23,90,113.5
Dredd,24,45,41.5
